Instance name		n	A	F	M	N	S
wall-p-1000.txt	6002	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
wall-p-10000.txt	60002	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
wall-p-2.txt	14	True	-1	-1	not implemented - NP Hard???	False	
wall-p-3.txt	20	True	-1	-1	not implemented - NP Hard???	False	
wall-p-4.txt	26	True	-1	-1	not implemented - NP Hard???	False	
wall-z-1.txt	8	True	-1	-1	not implemented - NP Hard???	False	
wall-z-10.txt	71	True	-1	-1	not implemented - NP Hard???	False	
wall-z-100.txt	701	True	-1	-1	not implemented - NP Hard???	False	
wall-z-1000.txt	7001	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
wall-z-10000.txt	70001	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
wall-z-2.txt	15	True	-1	-1	not implemented - NP Hard???	False	
wall-z-3.txt	22	True	-1	-1	not implemented - NP Hard???	False	
wall-z-4.txt	29	True	-1	-1	not implemented - NP Hard???	False	
